MONTH,TOTAL_ENCOUNTERS,AVERAGE_DURATION_MINUTES,EMERGENCY_ENCOUNTERS,INPATIENT_ENCOUNTERS,QUALITY_REVIEW_RECORDS
1944-12,3,15.0,0,0,0
1945-01,1,19.33,0,0,0
1945-02,1,15.0,0,0,0
1945-03,1,39.07,0,0,0
1945-05,3,94.87,0,0,0
1945-06,3,55.99,0,0,0
1945-07,1,1440.0,0,1,0
1945-09,1,15.0,0,0,0
1945-10,1,15.0,0,0,0
1945-12,4,82.64,0,0,0
1946-01,9,86.81,0,0,0
1946-02,9,104.51,0,0,0
1946-03,8,107.71,0,0,0
1946-04,3,102.28,0,0,0
1946-05,12,43.57,1,0,0
1946-06,2,104.37,0,0,0
1946-07,1,15.0,0,0,0
1946-09,2,15.0,0,0,0
1946-11,2,45.18,0,0,0
1946-12,2,15.0,0,0,0
1947-01,5,37.87,0,0,0
1947-02,1,55.12,0,0,0
1947-04,2,20.39,0,0,0
1947-05,4,45.24,0,0,0
1947-06,1,153.55,0,0,0
1947-09,1,131.53,1,0,0
1947-10,2,56.02,0,0,0
1947-11,2,52.68,0,0,0
1947-12,3,74.18,0,0,0
1948-01,1,29.13,0,0,0
1948-02,3,71.13,1,0,0
1948-03,1,48.27,0,0,0
1948-04,2,41.24,1,0,0
1948-07,1,15.0,0,0,0
1948-08,1,58.18,0,0,0
1948-09,1,76.83,0,0,0
1948-10,2,19.65,0,0,0
1948-12,3,24.73,0,0,0
1949-01,3,38.06,0,0,0
1949-04,3,35.94,0,0,0
1949-11,4,45.96,0,0,0
1949-12,2,15.0,0,0,0
1950-02,1,52.95,0,0,0
1950-04,1,135.67,1,0,0
1950-05,5,47.38,0,0,0
1950-06,4,116.98,0,0,0
1950-11,8,47.19,0,0,0
1950-12,3,1497.87,2,1,0
1951-01,2,216.62,0,0,0
1951-02,2,20021.65,0,0,0
1951-03,3,11099.38,0,0,0
1951-04,2,15.0,0,0,0
1951-07,2,15.0,0,0,0
1951-11,1,57.6,0,0,0
1952-01,3,490.0,0,1,0
1952-04,2,743.02,0,1,0
1952-07,3,30.0,1,0,0
1952-08,1,51.93,0,0,0
1952-10,3,33.03,0,0,0
1952-11,2,30.74,0,0,0
1953-01,2,58.22,0,0,0
1953-02,3,45.7,0,0,0
1953-04,3,31.85,0,0,0
1953-05,1,15.0,0,0,0
1953-06,4,82.69,0,0,0
1953-07,3,40.96,0,0,0
1953-08,2,15.0,0,0,0
1953-09,1,15.0,0,0,0
1953-10,4,35.34,0,0,0
1953-11,2,37.26,0,0,0
1953-12,1,15.0,0,0,0
1954-01,2,31.32,0,0,0
1954-02,2,23.55,0,0,0
1954-03,2,15.0,0,0,0
1954-04,1,15.0,0,0,0
1954-05,1,56.9,0,0,0
1954-06,1,15.0,0,0,0
1954-09,1,15.0,0,0,0
1954-10,1,15.0,0,0,0
1954-11,5,1317.48,0,1,0
1954-12,2,45.93,0,0,0
1955-01,1,15.0,0,0,0
1955-03,15,40.29,1,0,0
1955-04,3,15.0,0,0,0
1955-05,1,15.0,0,0,0
1955-07,1,53.3,0,0,0
1955-09,1,15.0,0,0,0
1955-10,2,25.38,0,0,0
1955-11,1,45.78,0,0,0
1955-12,1,35.63,0,0,0
1956-02,4,62.78,0,0,0
1956-03,2,52.16,0,0,0
1956-04,3,15.0,0,0,0
1956-06,4,88.01,0,0,0
1956-07,2,47.18,0,0,0
1956-08,1,15.0,0,0,0
1956-09,7,38.0,0,0,0
1956-10,3,87.47,0,0,0
1956-11,2,48.21,0,0,0
1956-12,7,237.42,0,1,0
1957-01,2,735.32,0,1,0
1957-02,3,31.02,0,0,0
1957-03,2,42.02,0,0,0
1957-05,1,15.0,0,0,0
1957-06,4,15.0,0,0,0
1957-09,1,15.0,0,0,0
1957-10,2,225.29,0,0,0
1957-11,1,46.38,0,0,0
1957-12,3,29.15,0,0,0
1958-01,2,22.66,0,0,0
1958-02,1,39.67,0,0,0
1958-03,1,15.0,0,0,0
1958-04,2,41.13,0,0,0
1958-05,2,727.5,0,1,0
1958-07,4,390.0,0,1,0
1958-08,1,2866.0,0,1,0
1958-09,1,33.0,0,0,0
1958-10,4,15.0,0,0,0
1958-11,2,15.0,0,0,0
1958-12,3,47.53,0,0,0
1959-01,5,133.54,0,0,0
1959-02,5,31.09,0,0,0
1959-03,9,38.9,0,0,0
1959-04,3,156.53,0,0,0
1959-05,2,15.0,0,0,0
1959-06,4,53.18,0,0,0
1959-08,2,36.03,0,0,0
1959-09,2,35.81,0,0,0
1959-10,7,70.03,0,0,0
1959-12,6,3454.38,1,0,1
1960-01,8,87.12,0,0,0
1960-02,5,20.22,0,0,0
1960-03,5,327.02,2,1,0
1960-04,2,15.0,0,0,0
1960-06,3,27.26,0,0,0
1960-07,1,34.27,0,0,0
1960-09,1,49.3,0,0,0
1960-10,5,19.13,0,0,0
1960-11,6,36.34,0,0,0
1960-12,2,37.5,1,0,0
1961-01,7,39.73,1,0,0
1961-02,1,218.78,0,0,0
1961-03,1,32.12,0,0,0
1961-04,2,37.5,1,0,0
1961-05,3,20.0,0,0,0
1961-06,6,14193.87,2,0,0
1961-07,6,44.78,0,0,0
1961-08,1,15.0,0,0,0
1961-09,3,35.2,0,0,0
1961-10,3,2445.68,1,1,0
1961-11,2,1826.14,0,1,0
1961-12,2,75.5,1,0,0
1962-01,3,47.71,0,0,0
1962-02,6,6516.47,0,1,0
1962-03,5,24.25,0,0,0
1962-04,3,9184.37,1,0,1
1962-05,1,58.7,0,0,0
1962-06,1,52.07,0,0,0
1962-07,1,15.0,0,0,0
1962-08,5,366.04,0,1,0
1962-09,1,15.0,0,0,0
1962-12,3,85.89,0,0,0
1963-01,7,42.15,0,0,0
1963-02,6,38.9,0,0,0
1963-03,4,29.98,0,0,0
1963-04,3,28.23,0,0,0
1963-05,3,34.14,1,0,0
1963-06,1,15.0,0,0,0
1963-07,1,44.97,0,0,0
1963-09,2,31.88,0,0,0
1963-10,2,27.39,0,0,0
1963-12,1,15.0,0,0,0
1964-01,5,317.77,0,1,0
1964-02,4,258.28,0,0,0
1964-03,1,15.0,0,0,0
1964-04,2,60.36,1,0,0
1964-05,2,36.58,0,0,0
1964-06,2,32.67,0,0,0
1964-07,1,15.0,0,0,0
1964-08,3,29.43,0,0,0
1964-10,2,15.0,0,0,0
1964-11,1,15.0,0,0,0
1964-12,3,37.51,0,0,0
1965-01,8,29.34,0,0,0
1965-02,1,94.65,0,0,0
1965-03,1,15.0,0,0,0
1965-04,2,43.26,0,0,0
1965-06,4,36.63,0,0,0
1965-07,2,26.18,0,0,0
1965-08,3,21.74,0,0,0
1965-09,6,39.65,0,0,0
1965-10,6,31.48,0,0,0
1965-12,2,18.83,0,0,0
1966-01,6,68.65,0,0,0
1966-02,3,48.49,0,0,0
1966-03,4,59.96,1,0,0
1966-04,3,45.36,0,0,0
1966-05,2,15.0,0,0,0
1966-06,2,15.0,0,0,0
1966-07,4,37.27,0,0,0
1966-08,1,15.0,0,0,0
1966-09,2,23.32,0,0,0
1966-10,1,39.63,0,0,0
1966-11,2,15.0,0,0,0
1966-12,4,533.4,0,1,0
1967-01,9,112.15,0,0,0
1967-02,13,119.46,0,0,0
1967-03,15,134.6,0,0,0
1967-04,11,148.82,0,0,0
1967-05,15,135.34,1,0,0
1967-06,16,124.83,0,0,0
1967-07,11,148.45,0,0,0
1967-08,13,143.85,0,0,0
1967-09,14,141.2,0,0,0
1967-10,10,151.7,0,0,0
1967-11,10,93.69,0,0,0
1967-12,13,123.46,0,0,0
1968-01,19,1336.03,2,0,0
1968-02,15,668.78,2,1,1
1968-03,12,147.5,0,0,0
1968-04,18,195.14,0,1,0
1968-05,14,140.14,0,0,0
1968-06,15,113.4,0,0,0
1968-07,12,157.67,0,0,0
1968-08,14,289.13,0,1,0
1968-09,9,121.89,0,0,0
1968-10,12,154.08,0,0,0
1968-11,11,98.9,0,0,0
1968-12,18,343.72,0,1,0
1969-01,14,130.56,0,0,0
1969-02,13,143.4,1,0,0
1969-03,14,146.61,1,0,0
1969-04,11,134.27,0,0,0
1969-05,14,139.53,1,0,0
1969-06,11,165.82,0,0,0
1969-07,13,130.35,0,0,0
1969-08,13,151.23,0,0,0
1969-09,13,149.08,0,0,0
1969-10,14,79.98,1,0,0
1969-11,9,121.19,0,0,0
1969-12,13,158.99,0,0,0
1970-01,17,127.47,0,0,0
1970-02,18,109.31,0,0,0
1970-03,13,140.0,0,0,0
1970-04,16,144.49,0,0,0
1970-05,13,139.57,0,0,0
1970-06,13,135.46,0,0,0
1970-07,15,116.17,0,0,0
1970-08,11,54.38,1,0,0
1970-09,4,82.28,0,0,0
1970-10,9,80.75,0,0,0
1970-11,10,102.16,1,0,0
1970-12,16,132.63,0,0,0
1971-01,14,140.21,0,0,0
1971-02,11,147.29,0,0,0
1971-03,20,101.08,0,0,0
1971-04,17,190.91,0,1,0
1971-05,15,128.31,0,0,0
1971-06,14,131.76,0,0,0
1971-07,12,149.65,0,0,0
1971-08,17,117.72,0,0,0
1971-09,14,135.46,0,0,0
1971-10,14,319.71,0,0,1
1971-11,8,162.99,0,0,0
1971-12,9,154.09,0,0,0
1972-01,11,109.9,0,0,0
1972-02,11,152.89,0,0,0
1972-03,12,83.01,0,0,0
1972-04,17,112.73,0,0,0
1972-05,14,108.84,0,0,0
1972-06,10,104.34,0,0,0
1972-07,11,743.43,0,1,0
1972-08,11,104.42,0,0,0
1972-09,12,740.36,0,1,0
1972-10,11,55.81,0,0,0
1972-11,4,68.88,0,0,0
1972-12,5,32.67,0,0,0
1973-01,3,95.72,0,0,0
1973-02,5,78.85,0,0,0
1973-03,3,28.81,0,0,0
1973-04,1,15.0,0,0,0
1973-05,2,30.82,0,0,0
1973-06,5,57.05,1,0,0
1973-07,4,19.88,0,0,0
1973-08,11,33.23,0,0,0
1973-09,6,6980.85,1,0,1
1973-10,7,236.04,0,1,0
1973-11,2,96.56,1,0,0
1973-12,8,30.58,0,0,0
1974-01,1,43.43,0,0,0
1974-02,3,48.69,0,0,0
1974-03,10,37.81,1,0,0
1974-04,7,38.06,0,0,0
1974-05,3,100.41,0,0,0
1974-06,5,6572.21,1,0,1
1974-07,3,44.66,0,0,0
1974-08,4,36.62,1,0,0
1974-09,5,30.28,0,0,0
1974-10,9,31.0,0,0,0
1974-12,10,60.86,0,0,0
1975-01,5,32.7,0,0,0
1975-02,3,44.72,0,0,0
1975-03,7,53.19,0,0,0
1975-04,1,33.87,0,0,0
1975-06,7,19.38,0,0,0
1975-07,11,2258.41,1,1,0
1975-08,4,38.53,0,0,0
1975-09,3,1026.17,0,0,1
1975-10,12,182.95,1,1,0
1975-11,4,40.27,0,0,0
1975-12,4,70.15,0,0,0
1976-01,5,73.09,0,0,0
1976-02,6,284.03,1,1,0
1976-03,7,38.61,0,0,0
1976-04,8,223.36,0,1,0
1976-05,3,83.76,0,0,0
1976-06,3,37.48,0,0,0
1976-07,6,36.08,0,0,0
1976-08,7,75.48,2,0,0
1976-09,4,50.93,0,0,0
1976-10,3,24.06,0,0,0
1976-11,6,14927.28,2,0,0
1976-12,6,6269.61,0,0,0
1977-01,4,69.12,0,0,0
1977-02,3,39.96,0,0,0
1977-03,3,48.47,0,0,0
1977-04,2,29.5,0,0,0
1977-06,4,27.86,0,0,0
1977-07,7,532.76,0,1,1
1977-08,10,27.87,0,0,0
1977-09,3,35.97,0,0,0
1977-10,3,2396.83,1,0,1
1977-11,5,32.62,0,0,0
1977-12,2,26.48,0,0,0
1978-01,8,23.82,0,0,0
1978-02,4,23.43,0,0,0
1978-03,10,432.74,2,2,0
1978-04,3,26.77,0,0,0
1978-05,3,58.39,0,0,0
1978-06,6,294.05,1,1,0
1978-07,6,261.01,0,1,0
1978-08,7,2704.68,1,0,0
1978-09,5,320.94,0,1,0
1978-10,8,32.55,0,0,0
1978-11,11,65.39,1,0,0
1978-12,5,75.75,0,0,0
1979-01,7,53.7,0,0,0
1979-02,6,31.78,0,0,0
1979-03,7,238.94,0,1,0
1979-04,8,60.88,0,0,0
1979-05,5,50.69,0,0,0
1979-06,4,31.9,0,0,0
1979-07,5,49.64,0,0,0
1979-08,6,33.01,0,0,0
1979-10,6,95.56,0,0,0
1979-11,8,31.0,0,0,0
1979-12,6,1059.58,0,1,0
1980-01,9,45.46,0,0,0
1980-02,3,36.93,0,0,0
1980-03,6,91.86,0,0,0
1980-04,8,1600.62,2,0,1
1980-05,1,148.48,1,0,0
1980-06,9,43.17,0,0,0
1980-07,7,63.33,0,0,0
1980-08,5,45.54,0,0,0
1980-09,9,196.29,0,1,0
1980-10,8,30.9,0,0,0
1980-11,7,2505.51,1,0,0
1980-12,13,425.88,1,1,0
1981-01,9,46.36,0,0,0
1981-02,6,68.11,0,0,0
1981-03,6,62.44,1,0,0
1981-04,6,1006.93,0,1,0
1981-05,6,36.81,0,0,0
1981-06,11,354.88,0,1,0
1981-07,12,67.01,1,0,0
1981-08,4,48.32,0,0,0
1981-09,14,157.44,1,1,0
1981-10,6,1327.71,0,2,0
1981-11,5,44.16,0,0,0
1981-12,4,39.16,0,0,0
1982-01,4,96.67,0,0,0
1982-02,4,87.58,1,0,0
1982-03,9,35.96,0,0,0
1982-04,7,38.95,0,0,0
1982-05,15,37.76,0,0,0
1982-06,2,43.08,0,0,0
1982-07,6,38.26,0,0,0
1982-08,4,60.88,1,0,0
1982-09,6,33.26,0,0,0
1982-10,7,240.74,1,1,0
1982-11,7,89.09,1,0,0
1982-12,6,89.46,0,0,0
1983-01,10,34.66,0,0,0
1983-02,5,6968.96,0,0,0
1983-03,7,41.54,0,0,0
1983-04,15,50.44,0,0,0
1983-05,7,88.31,0,0,0
1983-06,7,6239.04,0,1,0
1983-07,6,1049.04,0,1,0
1983-08,5,402.39,0,1,0
1983-09,5,40.99,0,0,0
1983-10,5,41.04,0,0,0
1983-11,9,61.58,0,0,0
1983-12,10,1125.75,2,0,1
1984-01,13,1070.43,0,2,0
1984-02,8,1841.9,1,1,0
1984-03,7,37.99,0,0,0
1984-04,9,1027.05,1,2,0
1984-05,17,688.65,0,3,0
1984-06,6,1631.74,1,1,0
1984-07,13,534.14,1,1,0
1984-08,8,853.17,0,1,0
1984-09,6,771.97,2,1,0
1984-10,7,2354.95,0,1,0
1984-11,11,4164.37,1,2,0
1984-12,11,470.57,0,1,0
1985-01,9,1089.96,0,1,0
1985-02,7,36.13,0,0,0
1985-03,11,1472.94,0,3,0
1985-04,13,1091.02,0,3,0
1985-05,17,1144.35,0,2,0
1985-06,17,1057.28,2,2,0
1985-07,11,1199.57,0,1,0
1985-08,14,42.49,0,0,0
1985-09,12,813.93,1,2,0
1985-10,19,365.69,0,1,0
1985-11,11,810.68,0,1,0
1985-12,17,900.44,1,3,0
1986-01,9,89.28,0,0,0
1986-02,7,978.94,1,1,0
1986-03,7,1178.14,0,1,0
1986-04,14,2770.12,0,2,0
1986-05,10,213.69,0,1,0
1986-06,10,9126.89,0,2,0
1986-07,10,659.0,0,1,0
1986-08,9,1417.31,1,1,0
1986-09,14,4121.83,0,2,0
1986-10,11,1183.22,0,1,0
1986-11,13,34.46,0,0,0
1986-12,18,873.43,0,1,0
1987-01,18,312.18,0,1,0
1987-02,3,157.71,0,0,0
1987-03,10,712.97,0,1,0
1987-04,18,881.14,0,3,0
1987-05,17,476.55,0,1,0
1987-06,13,577.6,0,1,0
1987-07,21,1091.08,0,1,0
1987-08,22,116.08,1,0,0
1987-09,23,444.61,1,2,0
1987-10,24,496.82,0,1,0
1987-11,17,141.86,0,0,0
1987-12,28,655.15,3,2,0
1988-01,32,1811.35,1,2,1
1988-02,14,1008.28,0,1,0
1988-03,19,437.56,0,1,0
1988-04,15,90.62,0,0,0
1988-05,26,1054.97,3,1,0
1988-06,15,812.24,1,1,0
1988-07,23,138.13,2,1,0
1988-08,28,246.1,0,1,0
1988-09,19,919.63,1,2,0
1988-10,19,1094.0,0,2,0
1988-11,18,102.05,0,0,0
1988-12,24,528.07,0,2,0
1989-01,28,532.41,0,2,0
1989-02,20,2122.93,1,1,1
1989-03,20,892.36,1,1,0
1989-04,20,115.6,0,0,0
1989-05,28,578.16,0,3,0
1989-06,19,460.82,1,2,0
1989-07,20,2195.6,0,1,0
1989-08,16,380.34,0,2,0
1989-09,16,107.9,1,0,0
1989-10,13,71.58,0,0,0
1989-11,18,85.46,0,0,0
1989-12,28,132.27,0,1,0
1990-01,33,127.8,1,1,0
1990-02,34,132.82,13,1,0
1990-03,22,73.32,7,0,0
1990-04,35,149.52,10,2,0
1990-05,25,122.55,5,1,0
1990-06,32,79.09,9,0,0
1990-07,29,76.48,6,0,0
1990-08,28,69.39,3,0,0
1990-09,37,423.02,6,0,0
1990-10,27,248.18,5,0,1
1990-11,34,125.34,4,1,0
1990-12,41,70.93,4,0,0
1991-01,36,91.19,0,0,0
1991-02,41,137.86,5,1,0
1991-03,40,98.92,4,0,0
1991-04,38,116.06,4,0,0
1991-05,32,87.83,4,0,0
1991-06,34,257.66,5,1,0
1991-07,33,1866.09,2,3,0
1991-08,37,96.13,3,0,0
1991-09,23,189.23,1,2,0
1991-10,24,163.46,0,1,0
1991-11,39,78.13,5,0,0
1991-12,26,75.76,0,0,0
1992-01,17,87.68,0,0,0
1992-02,40,271.33,2,1,0
1992-03,32,265.03,2,2,0
1992-04,27,66.99,2,0,0
1992-05,33,684.47,1,1,0
1992-06,27,48.9,1,0,0
1992-07,30,70.52,2,0,0
1992-08,31,56.61,2,0,0
1992-09,25,1639.08,2,0,0
1992-10,31,304.21,3,1,1
1992-11,38,919.44,1,0,0
1992-12,30,90.09,0,0,0
1993-01,38,172.94,1,2,0
1993-02,36,122.19,2,1,0
1993-03,30,4427.28,3,0,0
1993-04,24,82.75,2,0,0
1993-05,21,80.22,1,0,0
1993-06,33,256.33,5,2,1
1993-07,42,82.48,1,0,0
1993-08,36,171.9,3,2,0
1993-09,20,89.26,1,0,0
1993-10,24,69.32,0,0,0
1993-11,28,342.42,1,2,0
1993-12,45,888.72,3,2,0
1994-01,29,1427.83,2,0,0
1994-02,27,81.7,1,0,0
1994-03,27,207.27,0,1,1
1994-04,30,97.43,3,0,0
1994-05,26,282.5,0,1,0
1994-06,23,1928.27,0,0,0
1994-07,29,181.27,2,1,0
1994-08,27,1363.13,0,0,0
1994-09,17,120.52,1,0,0
1994-10,27,101.57,2,0,0
1994-11,19,64.9,7,0,0
1994-12,17,2093.73,4,0,0
1995-01,29,2186.98,7,1,0
1995-02,22,1659.55,3,1,1
1995-03,31,495.16,3,3,0
1995-04,21,70.01,5,0,0
1995-05,27,1813.95,10,0,2
1995-06,25,223.95,3,3,0
1995-07,28,151.26,7,2,0
1995-08,27,66.36,4,0,0
1995-09,14,139.19,2,1,0
1995-10,22,36.54,2,0,0
1995-11,12,67.47,0,0,0
1995-12,16,136.94,3,1,0
1996-01,24,142.37,1,1,0
1996-02,15,157.21,2,1,0
1996-03,25,352.82,1,1,0
1996-04,10,769.75,1,1,0
1996-05,7,82.6,1,0,0
1996-06,20,66.65,2,0,0
1996-07,12,52.83,0,0,0
1996-08,17,43.67,0,0,0
1996-09,17,128.81,1,1,0
1996-10,17,1088.19,2,1,0
1996-11,22,189.6,2,1,0
1996-12,20,348.05,1,0,0
1997-01,25,83.73,2,0,0
1997-02,19,247.29,2,2,0
1997-03,27,83.85,0,0,0
1997-04,12,1120.77,2,1,0
1997-05,12,62.29,1,0,0
1997-06,24,477.0,3,2,0
1997-07,20,43.9,1,0,0
1997-08,22,124.06,1,1,0
1997-09,19,230.63,4,0,2
1997-10,14,311.51,0,1,0
1997-11,27,799.64,1,4,0
1997-12,18,64.34,2,0,0
1998-01,20,62.43,2,0,0
1998-02,29,3728.83,1,1,0
1998-03,20,93.4,3,0,0
1998-04,12,2541.38,2,0,1
1998-05,20,1738.11,3,0,1
1998-06,23,85.08,0,1,0
1998-07,20,55.2,1,0,0
1998-08,20,48.14,3,0,0
1998-09,29,87.0,1,0,0
1998-10,21,131.39,0,1,0
1998-11,23,140.99,1,1,0
1998-12,24,42.8,0,0,0
1999-01,31,83.98,1,0,0
1999-02,15,38.88,0,0,0
1999-03,18,221.52,3,1,0
1999-04,17,461.01,0,1,0
1999-05,16,141.33,1,0,0
1999-06,19,112.6,1,1,0
1999-07,20,61.82,2,0,0
1999-08,17,1757.48,1,2,0
1999-09,26,326.16,4,3,0
1999-10,22,244.63,1,2,0
1999-11,19,64.67,1,0,0
1999-12,27,2136.03,2,2,0
2000-01,33,331.76,4,2,0
2000-02,30,100.36,2,1,0
2000-03,18,140.36,2,0,0
2000-04,7,5792.85,1,0,0
2000-05,14,208.08,2,1,0
2000-06,11,542.43,0,2,1
2000-07,12,383.5,0,3,0
2000-08,20,117.47,0,1,0
2000-09,27,174.91,1,0,1
2000-10,23,184.97,3,0,0
2000-11,26,741.14,0,1,0
2000-12,27,258.29,1,1,0
2001-01,30,337.15,2,1,0
2001-02,29,946.22,0,3,0
2001-03,27,1375.69,0,0,0
2001-04,31,97.68,2,0,0
2001-05,25,337.67,3,0,0
2001-06,24,155.97,0,1,0
2001-07,37,834.23,2,0,1
2001-08,31,808.37,3,1,1
2001-09,32,141.24,0,1,0
2001-10,28,892.88,0,4,0
2001-11,33,87.06,0,0,0
2001-12,32,99.33,3,0,0
2002-01,25,102.66,0,0,0
2002-02,22,158.81,1,1,0
2002-03,17,170.66,0,1,0
2002-04,26,105.02,1,0,0
2002-05,29,2517.6,1,0,0
2002-06,25,98.97,1,0,0
2002-07,34,193.72,5,2,0
2002-08,37,437.75,3,0,1
2002-09,27,135.94,3,1,0
2002-10,27,441.6,2,1,0
2002-11,30,135.43,1,1,0
2002-12,36,234.28,5,1,0
2003-01,24,257.61,2,1,0
2003-02,28,318.12,2,1,0
2003-03,28,847.59,1,2,0
2003-04,36,4445.11,1,2,0
2003-05,31,94.7,1,0,0
2003-06,27,90.94,1,0,0
2003-07,24,158.13,0,1,0
2003-08,32,505.97,0,1,0
2003-09,32,122.16,0,0,0
2003-10,28,85.87,3,0,0
2003-11,25,143.69,3,0,0
2003-12,36,139.24,3,1,0
2004-01,34,89.85,2,0,0
2004-02,36,163.91,2,1,0
2004-03,32,115.12,5,1,0
2004-04,29,1518.21,1,0,0
2004-05,28,977.36,6,0,1
2004-06,26,1082.4,2,3,1
2004-07,34,574.97,4,3,0
2004-08,43,919.88,5,5,1
2004-09,30,561.19,1,2,0
2004-10,36,808.27,0,2,0
2004-11,33,229.97,2,3,0
2004-12,55,890.64,3,1,0
2005-01,52,850.79,2,5,0
2005-02,34,1180.6,0,2,0
2005-03,39,292.51,2,1,0
2005-04,35,240.17,0,1,0
2005-05,48,341.93,0,2,0
2005-06,40,623.11,1,2,2
2005-07,50,760.25,2,3,0
2005-08,49,275.15,2,1,0
2005-09,45,318.7,3,3,0
2005-10,43,231.57,0,1,0
2005-11,55,3367.24,1,2,0
2005-12,47,439.16,2,3,0
2006-01,50,347.6,1,3,0
2006-02,52,745.07,1,5,0
2006-03,45,297.51,4,2,0
2006-04,55,432.16,3,2,0
2006-05,46,255.52,1,1,0
2006-06,47,1230.37,3,5,1
2006-07,48,475.03,1,3,0
2006-08,37,728.05,0,3,0
2006-09,36,2649.07,1,2,0
2006-10,60,329.4,1,2,0
2006-11,59,1189.91,2,3,0
2006-12,58,799.66,2,4,0
2007-01,61,506.29,2,1,1
2007-02,66,403.87,1,3,0
2007-03,51,468.96,3,2,0
2007-04,50,734.97,0,2,0
2007-05,57,377.04,2,2,0
2007-06,44,448.7,2,2,0
2007-07,62,817.92,2,5,0
2007-08,51,744.0,1,1,0
2007-09,67,2525.51,4,2,2
2007-10,61,790.39,3,5,0
2007-11,48,427.72,1,2,0
2007-12,51,355.81,1,2,0
2008-01,49,571.67,2,0,0
2008-02,55,945.72,1,1,0
2008-03,60,167.24,3,1,0
2008-04,47,1524.82,7,1,0
2008-05,64,273.51,4,1,0
2008-06,54,443.44,5,3,0
2008-07,48,288.68,4,2,0
2008-08,49,322.5,2,2,0
2008-09,51,298.69,3,1,0
2008-10,48,217.28,5,1,0
2008-11,56,476.92,1,2,1
2008-12,63,668.38,1,0,0
2009-01,57,382.79,1,2,0
2009-02,67,641.26,2,2,0
2009-03,62,134.17,2,1,0
2009-04,63,1040.23,1,2,0
2009-05,70,224.92,4,2,0
2009-06,68,213.42,0,1,0
2009-07,58,177.81,1,1,0
2009-08,64,330.53,5,4,0
2009-09,57,177.27,2,1,0
2009-10,60,969.17,3,2,0
2009-11,77,514.4,3,1,1
2009-12,76,169.59,0,2,0
2010-01,53,1096.39,2,2,0
2010-02,58,385.83,1,1,1
2010-03,51,264.65,1,1,0
2010-04,56,128.05,2,1,0
2010-05,67,258.65,2,3,0
2010-06,76,161.26,0,1,0
2010-07,67,361.09,1,1,0
2010-08,58,379.84,3,1,0
2010-09,60,87.55,1,0,0
2010-10,49,238.13,1,1,0
2010-11,50,896.06,3,0,0
2010-12,56,344.07,4,2,0
2011-01,66,416.98,1,3,0
2011-02,53,1051.77,2,3,0
2011-03,56,782.43,2,1,0
2011-04,63,357.85,3,3,0
2011-05,51,867.92,2,3,1
